Name,Market,Price,CategoryName,ImageUrl,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
Dardanel 10x140 gr Zeytinyağlı Ton Balığı,PttAVM,"939,12 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/dardanel-10x140-gr-zeytinyagli-ton-baligi-_1837090.jpg,193,24,0,11
Red Tiger 250 gr Surimi Çubuk Istakoz,Carrefoursa,"209,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/red-tiger-250-gr-surimi-cubuk-istakoz-_121694.jpg,,,,
1 kg İthal Norveç Somon Fileto,Carrefoursa,"729,99 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/1-kg-ithal-norvec-somon-fileto-_101090.jpg,146,22,0,6
Beşler 500 gr Dondurulmuş Kuşbaşı Dana,a101,"157,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/besler-500-gr-dondurulmus-kusbasi-dana-_1434887.jpg,250,26,0,20
Bolca 500 gr Hindi Dilimli Göğüs,Şok,"173,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/bolca-500-gr-hindi-dilimli-gogus-_1517672.jpg,107,25,0,1
Sultan 400 gr %20 Yağlı Dana Kıyma,Getir Büyük,"247,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/sultan-400-gr-20-yagli-dana-kiyma-_1955890.jpg,250,26,0,20
Bupiliç 1 kg Bonfile Piliç,Şok,"159,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/bupilic-1-kg-bonfile-pilic-_1051874.jpg,165,31,0,3.6
Gönbeler 3 kg Dana Antrikot,Amazon,"2.999,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/gonbeler-3-kg-dana-antrikot-_1771863.jpg,165,20,0,9
Dardanel 250 gr Tereyağlı Sarımsaklı Jumbo Karides,Carrefoursa,"274,99 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/dardanel-250-gr-tereyagli-sarimsakli-jumbo-karides-_827457.jpg,106,20,1,2
Bolca 1 kg Kemiksiz Hindi Pirzola,Carrefoursa,"314,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/bolca-1-kg-kemiksiz-hindi-pirzola-_286882.jpg,107,25,0,1
Leroy 500 gr Somon Fileto,Carrefour,"349,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/leroy-500-gr-somon-fileto-_1022410.jpg,146,22,0,6
Yeşilküre 1 kg Organik Tavuk Göğüs,Carrefoursa,"799,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/yesilkure-1-kg-organik-tavuk-gogus-_2002782.jpg,165,31,0,3.6
Bolca 500 gr Hindi Dilimli Göğüs,Şok,"173,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/bolca-500-gr-hindi-dilimli-gogus-_1517672.jpg,107,25,0,1
Gönbeler 3 kg Dana Antrikot,Amazon,"2.999,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/gonbeler-3-kg-dana-antrikot-_1771863.jpg,165,20,0,9
Sultan 400 gr %20 Yağlı Dana Kıyma,Getir Büyük,"247,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/sultan-400-gr-20-yagli-dana-kiyma-_1955890.jpg,250,26,0,20
Yeşilküre 1 kg Organik Tavuk Göğüs,Carrefoursa,"799,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/yesilkure-1-kg-organik-tavuk-gogus-_2002782.jpg,165,31,0,3.6
Bolca 1 kg Kemiksiz Hindi Pirzola,Carrefoursa,"314,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/bolca-1-kg-kemiksiz-hindi-pirzola-_286882.jpg,107,25,0,1
Dardanel 250 gr Tereyağlı Sarımsaklı Jumbo Karides,Carrefoursa,"274,99 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/dardanel-250-gr-tereyagli-sarimsakli-jumbo-karides-_827457.jpg,106,20,1,2
Banvit 850 gr Piliç Büfe Salam,Şok,"59,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/banvit-850-gr-pilic-bufe-salam-_912311.jpg,165,31,0,3.6
Keskinoğlu 700 gr Şinitzel Piliç,a101,"89,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/keskinoglu-700-gr-sinitzel-pilic-_981551.jpg,165,31,0,3.6
Beşler Et ve Gıda 400 gr Dana Kıyma,a101,"219,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/besler-et-ve-gida-400-gr-dana-kiyma-_1515443.jpg,250,26,0,20
Banvit 1 kg Piliç Roaster,a101,"99,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/banvit-1-kg-pilic-roaster-_981185.jpg,165,31,0,3.6
Gedik Piliç 250 gr Kangal Sucuk,a101,"42,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/gedik-pilic-250-gr-kangal-sucuk-_1433129.jpg,380,14,2,35
Gedik 300 gr Nugget Piliç,a101,"45,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/gedik-300-gr-nugget-pilic-_1039060.jpg,48,2.5,2.5,3
Danet 2 kg Hindi Jambon Blok,Pazarama,"1.100,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/danet-2-kg-hindi-jambon-blok-_1984999.jpg,107,25,0,1
Gurmepark Katkısız 1 kg Hindi Füme Kuru Et,PttAVM,"1.017,57 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/gurmepark-katkisiz-1-kg-hindi-fume-kuru-et-_286638.jpg,185,35,0,5
Cumhuriyet 120 gr Dana Kavurma,afyongıda,"190,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/cumhuriyet-120-gr-dana-kavurma-_692859.jpg,250,26,0,20
Başyazıcı 500 gr Fermente Acısız Evlik Parmak Sucuk,PttAVM,"697,44 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/basyazici-500-gr-fermente-acisiz-evlik-parmak-sucuk-_1058862.jpg,389,16,1.5,40
Cumhuriyet 1000 gr Baton Sucuk,idefix,"1.250,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/cumhuriyet-1000-gr-baton-sucuk-_1703646.jpg,399,14,7,35
Pınar 180 gr Şölen Dana Sucuk,PınarOnline,"139,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-180-gr-solen-dana-sucuk-_1317587.jpg,432,16,2,40
Pınar 500 gr Kasap Yağsız Dana Kıyma,PınarOnline,"446,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-500-gr-kasap-yagsiz-dana-kiyma-_1313882.jpg,250,26,0,20
Apikoğlu 5x70 gr Dilimli Dana Füme Dil,Amazon,"1.120,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/apikoglu-5x70-gr-dilimli-dana-fume-dil-_1586556.jpg,282,19,0,22
Vie Life 180 gr Düşük Proteinli Acılı Sucuk Karışımı,Vegan Pazaryeri,"144,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/vie-life-180-gr-dusuk-proteinli-acili-sucuk-karisimi-_266748.jpg,432,16,2,40
Pınar 18x60 gr Aç Bitir Hindi Füme,PınarOnline,"484,65 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-18x60-gr-ac-bitir-hindi-fume-_2059808.jpg,107,25,0,1
Namet Dana Kıyma % 20 Yağlı 400 gr,Getir Büyük,"279,99 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/namet-dana-kiyma-20-yagli-400-gr-_610238.jpg,250,26,0,20
Pınar 500 gr Kasap Dana Kıyma,PınarOnline,"309,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-500-gr-kasap-dana-kiyma-_1313888.jpg,250,26,0,20
Pınar 18x150 gr Gurme Hindi Füme,PınarOnline,"1.213,65 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-18x150-gr-gurme-hindi-fume-_2059809.jpg,107,25,0,1
Kaitatuya Doğal Nori 10 Yaprak Sushi Yosunu,Amazon,"299,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/kaitatuya-dogal-nori-10-yaprak-sushi-yosunu-_1170662.jpg,30,2,7,0.30
Erpiliç 300 gr Tabak Piliç Şinitzel,Getir Büyük,"73,99 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/erpilic-300-gr-tabak-pilic-sinitzel-_1748867.jpg,165,31,0,3.6
Danet 250 gr Pastırma,idefix,"539,10 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/danet-250-gr-pastirma-_1053246.jpg,200,30,3,5
Ege Ciğercisi 500 gr Dana Böbrek,Carrefoursa,"89,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/ege-cigercisi-500-gr-dana-bobrek-_2012197.jpg,250,26,0,20
Red Tiger 250 gr Surimi Çucuk Yengeç,Carrefoursa,"209,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/red-tiger-250-gr-surimi-cucuk-yengec-_215886.jpg,101,20,0,2
